time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
3.334941,nan,0.190347,0.143558
3.339940,0.083467,0.173477,0.148129
3.344940,nan,0.178618,0.152756
3.349940,0.149620,0.176897,0.157446
3.354939,nan,0.181279,0.162198
3.359939,0.142073,0.176185,0.167017
3.364938,nan,0.182228,0.171901
3.369938,0.272880,0.201900,0.176857
3.374938,nan,0.212530,0.181886
3.379937,0.072021,0.187689,0.186992
3.384937,nan,0.194920,0.192177
3.389937,0.233048,0.205943,0.197444
3.394936,nan,0.215151,0.202796
3.399936,0.209803,0.217259,0.208237
3.404936,nan,0.224576,0.213769
3.409935,0.361675,0.255006,0.219391
3.414935,nan,0.262709,0.225101
3.419935,0.203734,0.253783,0.230896
3.424934,nan,0.264968,0.236773
3.429934,0.167274,0.250095,0.242732
3.434933,nan,0.254991,0.248774
3.439933,0.135114,0.237771,0.254899
