MsgID.LOCAL_POSITION,87.0740000,180.1916656,53.7321358,-3.2607763
MsgID.LOCAL_VELOCITY,87.0740000,0.0000057,-0.0000402,-0.0000087
MsgID.GLOBAL_POSITION,0.0000000,-122.3968487,37.7941032,3.2460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,87.3240000,180.3143158,53.7478065,-3.2453308
MsgID.LOCAL_VELOCITY,87.3240000,-0.0000052,-0.0000577,-0.0000099
MsgID.GLOBAL_POSITION,0.0000000,-122.3968469,37.7941035,3.2210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,87.5740000,180.3432312,53.9049950,-3.2196600
MsgID.LOCAL_VELOCITY,87.5740000,-0.0000043,-0.0000531,0.0000023
MsgID.GLOBAL_POSITION,0.0000000,-122.3968471,37.7941035,3.1890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,87.8240000,180.3347321,53.8815804,-3.1872966
MsgID.LOCAL_VELOCITY,87.8240000,-0.0000034,-0.0000476,-0.0000513
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968468,37.7941032,3.1540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,88.0740000,180.3153687,53.9124718,-3.1521230
MsgID.LOCAL_VELOCITY,88.0740000,0.0000027,-0.0000477,-0.0001182
MsgID.GLOBAL_POSITION,0.0000000,-122.3968470,37.7941045,3.1190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,88.3240000,180.4661407,53.8901443,-3.1174736
MsgID.LOCAL_VELOCITY,88.3240000,-0.0000120,-0.0000269,-0.0000167
MsgID.GLOBAL_POSITION,0.0000000,-122.3968470,37.7941047,3.0870000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,88.5740000,180.4646301,53.8916969,-3.0849550
MsgID.LOCAL_VELOCITY,88.5740000,-0.0000043,-0.0000257,-0.0000118
MsgID.GLOBAL_POSITION,0.0000000,-122.3968458,37.7941045,3.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,88.8240000,180.4550018,54.0021057,-3.0545805
MsgID.LOCAL_VELOCITY,88.8240000,0.0000017,-0.0000092,0.0000159
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968464,37.7941039,3.0270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,89.0740000,180.3799744,53.9245567,-3.0254676
MsgID.LOCAL_VELOCITY,89.0740000,0.0000021,-0.0000158,0.0000394
MsgID.GLOBAL_POSITION,0.0000000,-122.3968484,37.7941040,3.0030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0600000
MsgID.LOCAL_POSITION,89.3240000,180.4081116,53.7648506,-3.0031087
MsgID.LOCAL_VELOCITY,89.3240000,-0.0016785,0.0015317,-0.0873183
MsgID.GLOBAL_POSITION,0.0000000,-122.3968469,37.7941048,3.0060000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0100000,-0.1400000
MsgID.LOCAL_POSITION,89.5740000,180.4876251,53.9034538,-3.0074737
MsgID.LOCAL_VELOCITY,89.5740000,-0.0142900,0.0104631,-0.1270860
MsgID.GLOBAL_POSITION,0.0000000,-122.3968484,37.7941036,3.0120000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0000000,-0.0700000
MsgID.LOCAL_POSITION,89.8240000,180.3509979,53.7612228,-3.0131862
